timestamp,btc_oi,eth_oi,total_oi,btc_change_pct,eth_change_pct,total_change_pct
2025-01-25 22:37:24.901100,8747840711.290087,5475595425.950277,14223436137.240364,,,
2025-01-25 22:42:24.970565,8688311314.73855,5520059788.808578,14208371103.547129,,,
2025-01-25 22:47:25.080417,8611076819.039618,5559453892.944437,14170530711.984056,,,
2025-01-25 22:52:25.162643,8602394006.778912,5506886825.866195,14109280832.645107,,,
2025-01-25 22:57:25.236476,8730535287.10366,5538918210.103931,14269453497.207592,,,
2025-01-25 23:02:25.345471,8737843294.487244,5568672047.253825,14306515341.74107,,,
2025-01-25 23:07:25.451268,8598931507.800594,5572234639.232918,14171166147.033512,,,
2025-01-25 23:12:25.546929,8679354109.248276,5489947914.723433,14169302023.971708,,,
2025-01-25 23:17:25.653356,8713548967.580173,5537200374.746297,14250749342.32647,,,
2025-01-25 23:22:25.758520,8608633813.013414,5515442222.869956,14124076035.88337,,,
2025-01-25 23:27:25.866479,8721218625.202148,5491677780.644301,14212896405.84645,,,
2025-01-25 23:32:25.962557,8596195151.94291,5481167736.165738,14077362888.108646,,,
2025-01-25 23:37:26.066235,8598371572.074753,5509514167.069672,14107885739.144424,,,
2025-01-25 23:42:26.172413,8655049916.423883,5522522759.633867,14177572676.05775,,,
2025-01-25 23:47:26.276598,8671482391.542515,5490377630.853737,14161860022.396252,,,
2025-01-25 23:52:26.365317,8715653210.536316,5551511185.336833,14267164395.87315,,,
2025-01-25 23:57:26.466506,8762462198.723701,5539261098.937245,14301723297.660946,,,
2025-01-26 00:02:26.558900,8637586661.192001,5516319949.058286,14153906610.250286,,,
2025-01-26 00:07:26.663518,8684666041.906767,5502825067.068108,14187491108.974874,,,
2025-01-26 00:12:26.762513,8730327709.003944,5574516566.000254,14304844275.004198,,,
2025-01-26 00:17:26.846729,8761147279.26149,5516457472.940857,14277604752.202349,,,
2025-01-26 00:22:26.950500,8711979936.943651,5515740826.699638,14227720763.64329,,,
2025-01-26 00:27:26.970532,8632755400.054352,5480207656.742366,14112963056.79672,,,
2025-01-26 00:32:27.073789,8739489286.383842,5574030508.562366,14313519794.946207,,,
2025-01-26 00:37:27.148772,8626609142.942877,5568527387.844014,14195136530.786892,,,
2025-01-26 00:42:27.231605,8689275543.194565,5559960273.95432,14249235817.148884,,,
2025-01-26 00:47:27.334505,8721253183.530571,5496760042.169489,14218013225.70006,,,
2025-01-26 00:52:27.446515,8669694616.499615,5515114230.66403,14184808847.163645,,,
2025-01-26 00:57:27.642520,8656146907.623013,5501404574.575347,14157551482.19836,,,
2025-01-26 01:02:27.706585,8657175969.08152,5472077519.542663,14129253488.624184,,,
2025-01-26 01:07:27.794527,8720610235.090073,5506475034.357092,14227085269.447165,,,
2025-01-26 01:12:27.893318,8719325182.51773,5481953244.145944,14201278426.663671,,,
2025-01-26 01:17:27.999031,8605649547.81818,5486191746.400132,14091841294.218311,,,
2025-01-26 01:22:28.078674,8715513842.191608,5525642100.336682,14241155942.52829,,,
2025-01-26 01:27:28.178512,8616843153.2719,5560365073.353258,14177208226.625158,,,
2025-01-26 01:32:28.234650,8706518922.528318,5491138855.325855,14197657777.854174,,,
2025-01-26 01:37:28.278008,8610111965.018764,5564333551.33122,14174445516.349983,,,
2025-01-26 01:42:28.330520,8594210139.210001,5484960529.807733,14079170669.017736,,,
2025-01-26 01:47:28.424695,8738564518.771303,5538148168.402856,14276712687.17416,,,
2025-01-26 01:52:28.536291,8650294330.554996,5479540941.23326,14129835271.788258,,,
2025-01-26 01:57:28.642515,8608133379.209768,5511323486.964533,14119456866.1743,,,
2025-01-26 02:02:28.724777,8604805158.213346,5515470011.10665,14120275169.319996,,,
2025-01-26 02:07:28.820773,8739636875.643839,5503548236.615849,14243185112.259687,,,
2025-01-26 02:12:28.837194,8739441413.63598,5573837067.749846,14313278481.385826,,,
2025-01-26 02:17:28.904136,8708262418.401537,5530536681.65656,14238799100.058098,,,
2025-01-26 02:22:29.014490,8608859842.23041,5521494752.966395,14130354595.196804,,,
2025-01-26 02:27:29.066545,8741274134.774275,5493540112.497404,14234814247.27168,,,
2025-01-26 02:32:29.178510,8705314884.28941,5544869809.592928,14250184693.882338,,,
2025-01-26 02:37:29.372589,8732327881.528198,5474925065.809938,14207252947.338137,,,
2025-01-26 02:42:29.483938,8645620409.03546,5536890793.51614,14182511202.5516,,,
2025-01-26 02:47:29.598473,8753465377.730999,5530520685.496225,14283986063.227224,,,
2025-01-26 02:52:29.706514,8599449135.280622,5555547434.356748,14154996569.637371,,,
2025-01-26 02:57:29.815151,8731625618.424019,5493047145.357246,14224672763.781263,,,
2025-01-26 03:02:29.926516,8749929889.853247,5471718613.093624,14221648502.94687,,,
2025-01-26 03:07:30.026495,8738272386.51084,5526603799.488616,14264876185.999454,,,
2025-01-26 03:12:30.134520,8669904904.037163,5553850949.932978,14223755853.97014,,,
2025-01-26 03:17:30.238619,8721265729.181587,5482126920.684762,14203392649.866348,,,
2025-01-26 03:22:30.328434,8659799802.837175,5564182508.411774,14223982311.24895,,,
2025-01-26 03:27:30.430980,8688549665.353758,5521930227.151637,14210479892.505394,,,
2025-01-26 03:32:30.590492,8612830170.451448,5511593553.774192,14124423724.22564,,,
2025-01-26 03:37:30.666651,8631330473.937878,5473502157.2481165,14104832631.185991,,,
2025-01-26 03:42:30.730583,8676946622.994545,5515331166.967694,14192277789.962238,,,
2025-01-26 03:47:30.802002,8614685819.674597,5531889040.985224,14146574860.65982,,,
2025-01-26 03:52:30.910520,8665675061.310308,5489638216.949318,14155313278.259626,,,
2025-01-26 03:57:31.018509,8737069794.204212,5505694607.997402,14242764402.201614,,,
2025-01-26 04:02:31.123066,8615180855.683212,5472643724.967272,14087824580.650484,,,
2025-01-26 04:07:31.158523,8680394305.199669,5501231738.722157,14181626043.921824,,,
2025-01-26 04:12:31.266937,8626032289.624004,5516106666.410164,14142138956.034168,,,
2025-01-26 04:17:31.327419,8656066652.016504,5564028709.215988,14220095361.232492,,,
